68.142.249.179 - - [13/Dec/2005:19:41:48 -0800] "GET /bridge-loan.html HTTP/1.0" 404 298 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
69.227.61.241 - - [13/Dec/2005:19:45:37 -0800] "GET / HTTP/1.1" 403 4251 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.227.61.241 - - [13/Dec/2005:19:45:37 -0800] "GET /icons/apache_pb2.gif HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.227.61.241 - - [13/Dec/2005:19:45:37 -0800] "GET /icons/powered_by_rh.png HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
207.46.98.40 - - [13/Dec/2005:19:45:37 -0800] "GET /email_article.php?article_id=020 HTTP/1.0" 404 299 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
69.227.61.241 - - [13/Dec/2005:19:45:38 -0800] "GET / HTTP/1.1" 403 4251 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.227.61.241 - - [13/Dec/2005:19:45:38 -0800] "GET /icons/apache_pb2.gif HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.227.61.241 - - [13/Dec/2005:19:45:38 -0800] "GET /icons/powered_by_rh.png HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.227.61.241 - - [13/Dec/2005:19:45:41 -0800] "GET /index.html HTTP/1.1" 404 289 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
66.249.71.3 - - [13/Dec/2005:19:48:38 -0800] "GET / HTTP/1.0" 403 4251 "-" "Googlebot/2.1 (+http://www.google.com/bot.html)"
208.51.226.51 - - [13/Dec/2005:19:50:54 -0800] "GET /debt-consolidation.html HTTP/1.0" 404 301 "-" "Mozilla: (compatible; Windows XP)"
59.93.255.187 - - [13/Dec/2005:19:55:41 -0800] "GET / HTTP/1.0" 403 4251 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6"
59.93.255.187 - - [13/Dec/2005:19:55:43 -0800] "GET /icons/apache_pb2.gif HTTP/1.0" 200 2414 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6"
59.93.255.187 - - [13/Dec/2005:19:55:43 -0800] "GET /icons/powered_by_rh.png HTTP/1.0" 200 1213 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6"
59.93.255.187 - - [13/Dec/2005:19:55:43 -0800] "GET /favicon.ico HTTP/1.0" 404 291 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6"
68.142.250.182 - - [13/Dec/2005:19:59:33 -0800] "GET /mortgage.html HTTP/1.0" 404 295 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
68.142.250.62 - - [13/Dec/2005:20:04:44 -0800] "GET /comment.php?article_id=083&action=new HTTP/1.0" 404 293 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
72.30.177.12 - - [13/Dec/2005:20:08:18 -0800] "GET /robots.txt HTTP/1.0" 404 292 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
72.30.177.12 - - [13/Dec/2005:20:08:18 -0800] "GET /reverse-mortgage.html HTTP/1.0" 404 303 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
59.93.240.196 - - [13/Dec/2005:20:10:47 -0800] "GET /my/ HTTP/1.0" 404 283 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7"
68.142.250.164 - - [13/Dec/2005:20:10:54 -0800] "GET /email_article.php?article_id=144 HTTP/1.0" 404 299 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
64.136.27.229 - - [13/Dec/2005:22:17:48 -0800] "GET /t/image.gif?admin_id=14&client_id=104&document_url=aHR0cDovL3d3dy5kZWJ0Y29uc29saWRhdGlvbmNhcmUuY29tLw==&referer=aHR0cDovL3NlYXJjaC55YWhvby5jb20vc2VhcmNoP3A9Y3JlZGl0K2NhcmQrZGVidCtoZWxwJnJzPTEmZnIyPXJzLXRvcCZlaT1VVEYtOCZmcj1zbHYxLWFkYmU=&add_data[]=resolution::1280x768x32bit HTTP/1.1" 404 291 "http://www.debtconsolidationcare.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
208.51.226.51 - - [13/Dec/2005:22:17:53 -0800] "GET /index.html?cat=creditcard HTTP/1.0" 404 287 "-" "Mozilla: (compatible; Windows XP)"
205.188.116.137 - - [13/Dec/2005:22:17:59 -0800] "GET /t/image.gif?admin_id=14&client_id=104&document_url=aHR0cDovL3d3dy5kZWJ0Y29uc29saWRhdGlvbmNhcmUuY29tL2ZvcnVtcy9hY3Rpb24tdG9jb2xsZWN0b3ItMS5odG1s&referer=aHR0cDovL3d3dy5kZWJ0Y29uc29saWRhdGlvbmNhcmUuY29tL2ZvcnVtcy9hY3Rpb24tdG9jb2xsZWN0b3IuaHRtbA==&add_data[]=resolution::800x600x16bit HTTP/1.0" 404 291 "http://www.debtconsolidationcare.com/forums/action-tocollector-1.html" "Mozilla/4.0 (compatible; MSIE 6.0; AOL 9.0; Windows 98; PeoplePal 6.1)"
69.227.61.241 - - [13/Dec/2005:22:18:06 -0800] "GET / HTTP/1.1" 200 553 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.227.61.241 - - [13/Dec/2005:22:18:07 -0800] "GET /icons/blank.gif HTTP/1.1" 200 148 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.227.61.241 - - [13/Dec/2005:22:18:07 -0800] "GET /icons/folder.gif HTTP/1.1" 200 225 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.227.61.241 - - [13/Dec/2005:22:18:07 -0800] "GET /favicon.ico HTTP/1.1" 404 291 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
59.93.255.187 - - [13/Dec/2005:22:18:07 -0800] "GET /bot-activity/logme/index.php?I=10.0.1.34&T=1134540278&D=/rss/bbs.xml&U=Mozilla%2F5.0+%28Windows%3B+U%3B+Windows+NT+5.0%3B+en-US%3B+rv%3A1.7.12%29+Gecko%2F20050915+Firefox%2F1.0.7&i=135&A=14 HTTP/1.1" 404 308 "-" "-"
69.227.61.241 - - [13/Dec/2005:22:18:09 -0800] "GET / HTTP/1.1" 200 553 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.227.61.241 - - [13/Dec/2005:22:18:09 -0800] "GET /icons/blank.gif HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.227.61.241 - - [13/Dec/2005:22:18:09 -0800] "GET /icons/folder.gif HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.227.61.241 - - [13/Dec/2005:22:18:10 -0800] "GET / HTTP/1.1" 200 553 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.227.61.241 - - [13/Dec/2005:22:18:10 -0800] "GET /icons/blank.gif HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.227.61.241 - - [13/Dec/2005:22:18:10 -0800] "GET /icons/folder.gif HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.227.61.241 - - [13/Dec/2005:22:18:11 -0800] "GET / HTTP/1.1" 200 553 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.227.61.241 - - [13/Dec/2005:22:18:11 -0800] "GET /icons/blank.gif HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.227.61.241 - - [13/Dec/2005:22:18:11 -0800] "GET /icons/folder.gif HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.227.61.241 - - [13/Dec/2005:22:18:11 -0800] "GET / HTTP/1.1" 200 553 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.227.61.241 - - [13/Dec/2005:22:18:11 -0800] "GET /icons/blank.gif HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.227.61.241 - - [13/Dec/2005:22:18:11 -0800] "GET /icons/folder.gif HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.241.230.107 - - [13/Dec/2005:22:18:11 -0800] "GET /t/image.gif?admin_id=14&client_id=104&document_url=aHR0cDovL3d3dy5kZWJ0Y29uc29saWRhdGlvbmNhcmUuY29tL2ZvcnVtcy9wb3N0aW5nLmh0bWw=&referer=aHR0cDovL3d3dy5kZWJ0Y29uc29saWRhdGlvbmNhcmUuY29tL2ZvcnVtcy92aWV3dG9waWMuaHRtbD90PTYwMTI=&add_data[]=resolution::1024x768x32bit HTTP/1.1" 404 291 "http://www.debtconsolidationcare.com/forums/posting.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
59.93.240.196 - - [13/Dec/2005:22:18:11 -0800] "GET /rss/bbs.xml HTTP/1.1" 404 291 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.10) Gecko/20050716 Firefox/1.0.6"
69.227.61.241 - - [13/Dec/2005:22:18:12 -0800] "GET /dbwa/ HTTP/1.1" 200 775 "http://www.visitlab.com/" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.227.61.241 - - [13/Dec/2005:22:18:12 -0800] "GET /icons/back.gif HTTP/1.1" 200 216 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
82.38.159.116 - - [13/Dec/2005:22:18:15 -0800] "GET /t/image.gif?admin_id=14&client_id=180&document_url=aHR0cDovL3d3dy5oZWRpci5jb20vZ3JvdXB0aGluay9hYm91dDc2OS5odG1s&referer=aHR0cDovL3d3dy5oZWRpci5jb20v&add_data[]=resolution::1024x768x32bit HTTP/1.1" 404 291 "http://www.hedir.com/groupthink/about769.html" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
82.38.159.116 - - [13/Dec/2005:22:18:19 -0800] "GET /t/image.gif?admin_id=14&client_id=180&document_url=aHR0cDovL3d3dy5oZWRpci5jb20vZ3JvdXB0aGluay9hYm91dDgyOC5odG1s&referer=aHR0cDovL3d3dy5oZWRpci5jb20v&add_data[]=resolution::1024x768x32bit HTTP/1.1" 404 291 "http://www.hedir.com/groupthink/about828.html" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.241.230.107 - - [13/Dec/2005:22:18:19 -0800] "GET /t/image.gif?admin_id=14&client_id=104&document_url=aHR0cDovL3d3dy5kZWJ0Y29uc29saWRhdGlvbmNhcmUuY29tL2ZvcnVtcy9zZWFyY2guaHRtbD9zZWFyY2hfaWQ9bmV3cG9zdHM=&referer=aHR0cDovL3d3dy5kZWJ0Y29uc29saWRhdGlvbmNhcmUuY29tL2ZvcnVtcy9wb3N0aW5nLmh0bWw=&add_data[]=resolution::1024x768x32bit HTTP/1.1" 404 291 "http://www.debtconsolidationcare.com/forums/search.html?search_id=newposts" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
59.93.240.196 - - [13/Dec/2005:22:18:20 -0800] "GET /t/image.gif?admin_id=14&client_id=104&document_url=aHR0cDovL3d3dy5kZWJ0Y29uc29saWRhdGlvbmNhcmUuY29tLw==&referer=aHR0cDovL3d3dy5kZWJ0Y29uc29saWRhdGlvbmNhcmUuY29tL2ZvcnVtcy92aWV3dG9waWMuaHRtbD9wPTI2MzUx&add_data[]=resolution::1152x864x32bit HTTP/1.1" 404 291 "http://www.debtconsolidationcare.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0) Opera 7.54  [en]"
59.93.240.196 - - [13/Dec/2005:22:18:26 -0800] "GET /t/image.gif?admin_id=14&client_id=104&document_url=aHR0cDovL3d3dy5kZWJ0Y29uc29saWRhdGlvbmNhcmUuY29tLw==&referer=aHR0cDovL3d3dy5kZWJ0Y29uc29saWRhdGlvbmNhcmUuY29tL2ZvcnVtcy9hYm91dDYwMTYuaHRtbA==&add_data[]=resolution::1152x864x32bit HTTP/1.1" 404 291 "http://www.debtconsolidationcare.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0; .NET CLR 1.1.4322; InfoPath.1)"
82.38.159.116 - - [13/Dec/2005:22:18:43 -0800] "GET /t/image.gif?admin_id=14&client_id=180&document_url=aHR0cDovL3d3dy5oZWRpci5jb20vZnJlZS1zdWJtaXNzaW9uL2luZGV4Lmh0bWw=&referer=aHR0cDovL3d3dy5oZWRpci5jb20vZ3JvdXB0aGluay9hYm91dDgyOC5odG1s&add_data[]=resolution::1024x768x32bit HTTP/1.1" 404 291 "http://www.hedir.com/free-submission/index.html" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
59.93.255.187 - - [13/Dec/2005:22:18:43 -0800] "GET /t/image.gif?admin_id=14&client_id=104&document_url=aHR0cDovL3d3dy5kZWJ0Y29uc29saWRhdGlvbmNhcmUuY29tL2ZvcnVtcy9hYm91dDYwMTUuaHRtbA==&referer=aHR0cDovL3d3dy5kZWJ0Y29uc29saWRhdGlvbmNhcmUuY29tLw==&add_data[]=resolution::1152x864x32bit HTTP/1.1" 404 291 "http://www.debtconsolidationcare.com/forums/about6015.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0) Opera 7.54  [en]"
207.46.98.121 - - [13/Dec/2005:22:18:49 -0800] "GET /robots.txt HTTP/1.0" 404 292 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
207.46.98.121 - - [13/Dec/2005:22:18:49 -0800] "GET / HTTP/1.0" 200 555 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
207.46.98.121 - - [13/Dec/2005:22:18:53 -0800] "GET /index.html HTTP/1.0" 404 292 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
207.46.98.121 - - [13/Dec/2005:22:18:53 -0800] "GET /affiliate_affiliate.html HTTP/1.0" 404 306 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
207.46.98.121 - - [13/Dec/2005:22:18:53 -0800] "GET /affiliate_faq.html HTTP/1.0" 404 300 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
207.46.98.121 - - [13/Dec/2005:22:18:53 -0800] "GET /category32/index.html HTTP/1.0" 404 303 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
207.46.98.121 - - [13/Dec/2005:22:18:53 -0800] "GET /category33/index.html HTTP/1.0" 404 303 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
207.46.98.121 - - [13/Dec/2005:22:18:53 -0800] "GET /contact_us.html HTTP/1.0" 404 297 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
207.46.98.121 - - [13/Dec/2005:22:18:53 -0800] "GET /login.html HTTP/1.0" 404 292 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
207.46.98.121 - - [13/Dec/2005:22:18:53 -0800] "GET /create_account.html HTTP/1.0" 404 301 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
205.188.116.197 - - [13/Dec/2005:22:18:56 -0800] "GET /t/image.gif?admin_id=14&client_id=104&document_url=aHR0cDovL3d3dy5kZWJ0Y29uc29saWRhdGlvbmNhcmUuY29tL2ZvcnVtcy9hY3Rpb24tdG9jb2xsZWN0b3IuaHRtbA==&referer=aHR0cDovL3d3dy5kZWJ0Y29uc29saWRhdGlvbmNhcmUuY29tL2NvbGxlY3Rpb24tYWdlbmNpZXMvaW5kZXguaHRtbA==&add_data[]=resolution::800x600x16bit HTTP/1.0" 404 291 "http://www.debtconsolidationcare.com/forums/action-tocollector.html" "Mozilla/4.0 (compatible; MSIE 6.0; AOL 9.0; Windows 98; PeoplePal 6.1)"
205.188.117.66 - - [13/Dec/2005:22:18:57 -0800] "GET /t/image.gif?admin_id=14&client_id=104&document_url=aHR0cDovL3d3dy5kZWJ0Y29uc29saWRhdGlvbmNhcmUuY29tL2NvbGxlY3Rpb24tYWdlbmNpZXMvaW5kZXguaHRtbA==&referer=aHR0cDovL3d3dy5kZWJ0Y29uc29saWRhdGlvbmNhcmUuY29tL2ZvcnVtcy8=&add_data[]=resolution::800x600x16bit HTTP/1.1" 404 291 "http://www.debtconsolidationcare.com/collection-agencies/index.html" "Mozilla/4.0 (compatible; MSIE 6.0; AOL 9.0; Windows 98; PeoplePal 6.1)"
69.241.230.107 - - [13/Dec/2005:22:19:03 -0800] "GET /t/image.gif?admin_id=14&client_id=104&document_url=aHR0cDovL3d3dy5kZWJ0Y29uc29saWRhdGlvbmNhcmUuY29tL2ZvcnVtcy92aWV3dG9waWMuaHRtbD9wPTI2MzQ2&referer=&add_data[]=resolution::1024x768x32bit HTTP/1.1" 404 291 "http://www.debtconsolidationcare.com/forums/viewtopic.html?p=26346" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
205.188.116.70 - - [13/Dec/2005:22:19:11 -0800] "GET /t/image.gif?admin_id=14&client_id=104&document_url=aHR0cDovL3d3dy5kZWJ0Y29uc29saWRhdGlvbmNhcmUuY29tL2ZvcnVtcy9vc2ktc2VydmljZXMuaHRtbA==&referer=aHR0cDovL3d3dy5kZWJ0Y29uc29saWRhdGlvbmNhcmUuY29tL2NvbGxlY3Rpb24tYWdlbmNpZXMvaW5kZXguaHRtbA==&add_data[]=resolution::800x600x16bit HTTP/1.0" 404 291 "http://www.debtconsolidationcare.com/forums/osi-services.html" "Mozilla/4.0 (compatible; MSIE 6.0; AOL 9.0; Windows 98; PeoplePal 6.1)"
59.93.255.187 - - [13/Dec/2005:22:19:13 -0800] "GET /t/image.gif?admin_id=14&client_id=104&document_url=aHR0cDovL3d3dy5kZWJ0Y29uc29saWRhdGlvbmNhcmUuY29tL2ZvcnVtcy9wb3N0aW5nLmh0bWw/bW9kZT1kZWxldGUmcD0yNjMzOSZzaWQ9NjUzMGJiMTZlZGJjZDAwNWY4YWZkNTM3M2Y4NDBhOGU=&referer=aHR0cDovL3d3dy5kZWJ0Y29uc29saWRhdGlvbmNhcmUuY29tL2ZvcnVtcy9hYm91dDYwMTUuaHRtbA==&add_data[]=resolution::1152x864x32bit HTTP/1.1" 404 291 "http://www.debtconsolidationcare.com/forums/posting.html?mode=delete&p=26339&sid=6530bb16edbcd005f8afd5373f840a8e" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0) Opera 7.54  [en]"
59.93.255.187 - - [13/Dec/2005:22:19:19 -0800] "GET /t/image.gif?admin_id=14&client_id=104&document_url=aHR0cDovL3d3dy5kZWJ0Y29uc29saWRhdGlvbmNhcmUuY29tL2ZvcnVtcy9wb3N0aW5nLmh0bWw=&referer=aHR0cDovL3d3dy5kZWJ0Y29uc29saWRhdGlvbmNhcmUuY29tL2ZvcnVtcy9wb3N0aW5nLmh0bWw/bW9kZT1kZWxldGUmcD0yNjMzOSZzaWQ9NjUzMGJiMTZlZGJjZDAwNWY4YWZkNTM3M2Y4NDBhOGU=&add_data[]=resolution::1152x864x32bit HTTP/1.1" 404 291 "http://www.debtconsolidationcare.com/forums/posting.html" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0) Opera 7.54  [en]"
128.120.186.135 - - [13/Dec/2005:22:19:22 -0800] "GET /t/web.js HTTP/1.1" 404 287 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)"
216.180.65.216 - - [13/Dec/2005:22:19:26 -0800] "GET /t/image.gif?admin_id=14&client_id=104&document_url=aHR0cDovL3d3dy5kZWJ0Y29uc29saWRhdGlvbmNhcmUuY29tLw==&referer=aHR0cDovL3d3dy5nb29nbGUuY29tL3NlYXJjaD9xPWRlYnQrY29uc29saWRhdGlvbiZobD1lbiZscj0mc3RhcnQ9MCZzYT1O&add_data[]=resolution::800x600x16bit HTTP/1.1" 404 291 "http://www.debtconsolidationcare.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)"
220.253.37.213 - - [13/Dec/2005:22:19:31 -0800] "GET /rss/bbs.xml HTTP/1.1" 404 290 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7.12) Gecko/20050915 Firefox/1.0.7"
59.93.255.187 - - [13/Dec/2005:22:19:34 -0800] "GET /t/image.gif?admin_id=14&client_id=104&document_url=aHR0cDovL3d3dy5kZWJ0Y29uc29saWRhdGlvbmNhcmUuY29tL2ZvcnVtcy92aWV3Zm9ydW0uaHRtbD9mPTE3&referer=aHR0cDovL3d3dy5kZWJ0Y29uc29saWRhdGlvbmNhcmUuY29tL2ZvcnVtcy9wb3N0aW5nLmh0bWw=&add_data[]=resolution::1152x864x32bit HTTP/1.1" 404 291 "http://www.debtconsolidationcare.com/forums/viewforum.html?f=17" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0) Opera 7.54  [en]"
4.239.114.54 - - [13/Dec/2005:22:19:35 -0800] "GET /t/image.gif?admin_id=266&client_id=199&document_url=aHR0cDovL3d3dy50eHNoaXJ0cy5jb20vc2VhcmNoYnlzaXplLmFzcA==&referer=aHR0cDovL3d3dy50eHNoaXJ0cy5jb20vc2VhcmNoYnlzaXplLmFzcA==&add_data[]=resolution::1024x768x32bit HTTP/1.1" 404 291 "http://www.txshirts.com/searchbysize.asp" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; FunWebProducts; .NET CLR 1.1.4322)"
82.38.159.116 - - [13/Dec/2005:22:19:41 -0800] "GET /t/image.gif?admin_id=14&client_id=180&document_url=aHR0cDovL3d3dy5oZWRpci5jb20vZ3JvdXB0aGluay9pbmRleC5odG1s&referer=aHR0cDovL3d3dy5oZWRpci5jb20vZnJlZS1zdWJtaXNzaW9uL2luZGV4Lmh0bWw=&add_data[]=resolution::1024x768x32bit HTTP/1.1" 404 291 "http://www.hedir.com/groupthink/index.html" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
59.93.255.187 - - [13/Dec/2005:22:19:49 -0800] "GET /t/image.gif?admin_id=14&client_id=104&document_url=aHR0cDovL3d3dy5kZWJ0Y29uc29saWRhdGlvbmNhcmUuY29tLw==&referer=aHR0cDovL3d3dy5kZWJ0Y29uc29saWRhdGlvbmNhcmUuY29tL2ZvcnVtcy9hYm91dDYwMTYuaHRtbA==&add_data[]=resolution::1152x864x32bit HTTP/1.1" 404 291 "http://www.debtconsolidationcare.com/" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0; .NET CLR 1.1.4322; InfoPath.1)"
