Table 1-9:  ADA-Accessible Rail Transit Stations by Agency,,,,,,,,,,,,,,,
Type of rail transit / agency,Primary city served,Number of stations,,,,,,,Number of ADA-accessible stations,,,,,,
,,1996,1997,1998,1999,2000,2001,2002,1996,1997,1998,1999,2000,2001,2002
Bi-State Development Agency,"St. Louis, MO",18,18,18,18,18,26,26,18,18,18,18,18,26,26
New Jersey Transit Corporation ,"Newark, NJ",11,11,11,11,11,11,26,0,0,0,0,0,0,15
"Niagara Frontier Transit Metro System, Inc.","Buffalo, NY",14,14,14,14,14,14,15,7,7,7,7,7,7,7
Greater Cleveland Regional Transit Authority,"Cleveland, OH",33,33,33,34,34,34,34,2,5,5,7,7,8,8
Tri-County Metropolitan Transportation District of Oregon,"Portland, OR",27,27,29,47,47,47,52,26,26,28,46,46,46,52
Port Authority of Allegheny County,"Pittsburgh, PA",13,13,13,13,13,13,14,0,13,13,13,13,13,14
Southeastern Pennsylvania Transportation Authority ,"Philadelphia, PA",64,64,64,64,64,64,68,0,0,0,0,0,0,3
Memphis Area Transit Authority,"Memphis, TN",20,20,27,28,28,28,1,20,20,27,28,28,28,1
Dallas Area Rail Transit Authority,"Dallas, TX",14,20,20,20,20,22,29,14,20,20,20,20,22,29
Galveston-Island Transit,"Galveston, TX",3,3,3,U,U,U,3,3,3,3,U,U,U,3
Utah Transit Authority,"Salt Lake City, UT",NA,NA,NA,16,16,20,20,NA,NA,NA,16,16,20,20
King County Department of Transportation ,"Seattle, WA",14,14,14,9,9,9,U,14,14,14,9,9,9,U
Kenosha Transit,"Kenosha, WI",NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,0,0,1
KEY:  ADA = Americans with Disabilities Act of 1992; NA = not applicable; U = data are not available,,,,,,,,,,,,,,,
NOTE,,,,,,,,,,,,,,,
"Rail transit data for 2002 includes both directly operated and purchased.  Prior to 2002,  the data include directly operated service only.  ",,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,
"U.S. Department of Transportation, Federal Transit Administration, National Transit Database (Washington, DC: Annual Issues), table 21, Internet site http://www.ntdprogram.com/NTD/ntdhome.nsf?OpenDatabase as of February 2004.",,,,,,,,,,,,,,,
